compromise_pdi,borda sum
3.6190476190476195,171
3.6,148
3.3428571428571425,154
3.1142857142857143,150
3.180952380952381,122
2.914285714285714,142
3.6761904761904756,150
3.257142857142857,134
3.304761904761904,137
3.40952380952381,157
3.0,156
3.352380952380952,158
2.8000000000000003,151
3.5428571428571427,153
3.285714285714286,153
3.2571428571428567,160
3.1428571428571423,139
3.095238095238096,145
3.1809523809523803,148
3.3714285714285714,150
3.876190476190477,150
3.342857142857143,158
3.9238095238095245,177
2.952380952380952,132
3.352380952380953,150
3.7523809523809533,142
3.076190476190476,143
3.4571428571428573,169
3.361904761904762,146
3.228571428571429,155
3.6190476190476186,166
3.3714285714285706,134
3.2095238095238106,144
3.6380952380952376,140
3.1904761904761902,160
3.4952380952380953,155
3.6952380952380945,137
3.59047619047619,142
3.5142857142857147,168
3.2380952380952377,136
2.980952380952381,148
3.0476190476190474,143
3.2,153
3.371428571428572,169
3.40952380952381,132
3.5142857142857147,169
3.4761904761904763,158
3.0000000000000004,154
3.266666666666667,145
3.6476190476190475,164
3.2761904761904757,142
3.20952380952381,135
3.695238095238095,158
3.5904761904761906,146
3.4,155
3.276190476190476,156
3.7523809523809524,149
3.2380952380952377,156
3.380952380952381,150
3.1809523809523808,145
3.2190476190476196,149
2.857142857142857,130
3.0190476190476185,132
3.39047619047619,141
3.752380952380953,172
3.2476190476190476,161
3.342857142857143,161
3.228571428571428,153
3.0571428571428574,129
3.123809523809524,138
3.295238095238095,157
3.2571428571428567,157
3.247619047619047,137
3.7238095238095235,163
3.1714285714285713,150
3.6190476190476186,153
3.4000000000000004,151
3.514285714285714,148
4.076190476190476,166
3.3142857142857145,150
3.60952380952381,158
3.2190476190476187,147
3.4285714285714284,142
3.5428571428571427,151
3.419047619047619,168
3.1904761904761902,153
3.066666666666667,148
3.104761904761905,162
3.647619047619048,168
3.123809523809524,132
3.5142857142857142,140
2.980952380952381,138
3.723809523809524,183
