compromise_pdi,borda sum
3.5714285714285703,149
3.4380952380952383,152
3.447619047619048,150
3.5238095238095237,135
3.6190476190476186,119
3.2095238095238097,116
3.2,136
2.819047619047619,137
3.114285714285714,152
3.6190476190476195,146
3.238095238095238,150
3.0857142857142854,142
3.1238095238095234,145
3.0,136
3.666666666666666,166
3.5809523809523816,151
3.0857142857142854,123
3.3333333333333326,146
3.533333333333333,149
4.0285714285714285,132
3.60952380952381,138
3.419047619047619,151
3.3619047619047624,155
3.4952380952380953,143
3.2857142857142856,138
3.5809523809523807,169
3.257142857142857,143
3.847619047619048,138
3.314285714285714,129
3.685714285714286,158
3.333333333333333,123
3.40952380952381,147
3.4,154
3.571428571428571,150
3.904761904761905,151
3.733333333333334,160
3.447619047619048,138
3.0761904761904764,136
3.257142857142857,149
2.9714285714285715,128
3.40952380952381,141
2.980952380952381,132
3.3047619047619055,153
3.4952380952380953,126
3.2,150
2.6190476190476186,131
3.7047619047619054,159
3.247619047619048,138
3.0095238095238095,136
3.771428571428571,147
3.4000000000000004,127
3.5238095238095233,138
2.904761904761904,144
3.3428571428571434,131
3.1428571428571432,140
2.9428571428571426,141
3.704761904761905,146
3.514285714285714,132
3.466666666666667,164
3.6095238095238096,138
2.933333333333333,139
3.2857142857142856,149
3.0380952380952384,135
3.2952380952380955,147
3.1142857142857143,129
3.4571428571428573,147
3.657142857142858,142
3.1047619047619044,137
4.133333333333334,166
3.2,147
3.1714285714285713,150
3.4761904761904763,147
3.019047619047619,135
3.666666666666666,150
3.733333333333333,155
3.8571428571428568,144
3.3523809523809525,152
3.8761904761904757,149
3.4000000000000004,139
3.333333333333334,150
3.314285714285714,139
3.4190476190476193,134
3.438095238095238,148
3.5523809523809518,130
3.8571428571428577,154
3.7047619047619045,156
3.361904761904762,126
3.285714285714286,145
3.4190476190476193,150
3.40952380952381,127
3.2476190476190476,141
2.9904761904761905,139
3.2285714285714286,164
3.361904761904761,143
2.923809523809524,138
3.314285714285714,132
3.142857142857143,127
3.895238095238096,140
3.257142857142857,154
3.59047619047619,151
3.0380952380952375,147
3.533333333333333,145
3.361904761904762,139
3.419047619047619,148
3.5904761904761906,141
3.628571428571428,145
3.742857142857143,138
3.4,144
3.142857142857143,116
3.2,144
3.1999999999999997,144
3.1047619047619044,139
3.7523809523809524,143
3.657142857142857,154
3.142857142857143,135
3.9619047619047616,155
3.2476190476190476,152
3.0380952380952375,154
3.3619047619047624,137
3.276190476190476,153
3.695238095238095,145
3.5523809523809526,145
3.714285714285714,147
